word,sentiment
定位,-2.557390636
水滴,-1.461734694
习惯,-1.513176349
开除,-1.221325091
一本,-2.549398057
充,-2.091914104
雷总谈,-1.0132362
高喊,-0.562000609
好家伙,-1.338927157
版有,-1.786167652
目前,-1.212341158
下面,-2.16166436
同样,-1.471998674
一如既往,-1.826068162
猴王,-0.764476568
消费者,-1.997971486
值得,-1.927349689
专为,-1.42277019
上市,-1.468854617
排列,-1.491322589
美国,-1.795115774
左右,-1.773693676
位置,-1.936357602
自豪,-1.724468984
关机,-2.125676645
全面,-1.818193487
强,-1.922177148
问下,-1.48258414
青春痘,-1.553012097
撇嘴,-1.72044149
熬夜,-0.907675609
维修,-2.289767884
活动,-2.692803593
没想到,-0.819329403
高性能,-1.451602109
时挺帅,-0.777231317
选,-1.06112134
一代人,-2.213247888
空间,-1.679576149
始终,-1.112042413
剋,-0.557249813
几十年,-1.251880662
社会,-1.834288999
简直,-1.722581858
软件,-1.936041287
透明,-2.490039075
舍不得,-1.404705311
小弟,-1.391102842
关系,-1.537380242
太卡,-1.20509846
巅峰,-1.73839997
赶紧,-1.564083936
总长,-1.646431213
不好意思,-0.845710396
做出,-1.886359736
定制,-1.44416247
姓,-1.331517688
半天,-1.681634209
很少,-1.643532495
我来,-1.409363026
开个,-1.809483187
提升,-1.46261574
漂亮,-1.221993385
不让,-1.866783678
五年,-2.015610888
些,-1.495674397
震惊,-1.043066159
命名,-1.423910284
请教,-1.650050973
太大,-0.50233764
功能,-1.750233628
有个,-1.387491617
符合,-1.675014742
加上,-1.868337371
感受,-1.478011271
万岁,-0.891034131
黑眼圈,-1.23129701
现实,-1.459721426
天,-1.426178699
口,-1.475129206
时好帅,-0.560939478
色盲,-1.342663692
无所谓,-0.89712638
挖,-2.372664036
雷总真,-0.877371282
时隔,-1.158953027
鞋狗,-1.639820049
经典,-1.179496676
老人,-1.502684052
太快,-2.124855102
嘞,-1.467448708
重新,-1.854805507
大叔,-1.454062315
平时,-1.42835242
了解,-1.44637567
巧,-1.5693275
高配,-1.875248766
八,-1.308508102
参加,-1.886920946
音,-1.579156542
无线,-2.205169217
男生,-1.441837494
一波,-1.29943038
剪头发,-1.002011671
憔悴,-1.135547937
还要,-1.700737626
武汉大学,-1.69515344
男神,-1.244595378
安卓,-1.291658922
寸,-1.813501166
靓仔,-0.776748022
天天,-1.293534565
叼,-0.880297569
越老,-1.641071992
头像,-0.903406223
负责,-2.191030261
有人,-1.524189992
羡慕,-1.357397473
赢,-1.82602257
一个亿,-1.560985506
正常,-1.477510856
实话,-1.344543065
瞬间,-1.824965485
几款,-1.968681763
卖货,-1.067288799
方向,-0.72096304
这辈子,-1.422769777
国外,-1.520244476
互联网,-2.048292114
总裁,-0.977636742
内军,-0.67500356
廉价,-1.319556528
真实,-1.788929437
红,-1.847698095
爱情,-1.17854215
拼搏,-1.54519728
扛,-1.655550738
次,-2.17226619
客户,-2.194796057
